canonical_key,canonical_name,category,default_specimen,aliases,external_source_notes
psa_tu_do,PSA tự do,tumor_marker,blood,PSA tự do|PSA tự do (Free prostate-specific antigen),both#5:138
pt,PT (thời gian prothrombin),coagulation,blood,PT|thời gian prothrombin|PT (thời gian prothrombin),manual_curation#0:; plan_section_9
pth,PTH,coagulation,blood,PTH|PTH (Parathyroid hormon)|Parathyroid hormon,both#5:140
renin_activity,Renin activity,chemistry,blood,Renin activity,lab_med_ministry_pdf#5:141
rf,RF,immunology,blood,RF|RF (Reumatoid factor)|Reumatoid factor,both#5:142
rivalta,Rivalta,chemistry,puncture_fluid,Rivalta,lab_med_ministry_pdf#7:217
rotundin,Rotundin,urinalysis,urine,Rotundin,lab_med_ministry_pdf#7:200
s_tfr,s TfR,chemistry,blood,s TfR|s TfR (solube transferin receptor),lab_med_ministry_pdf#5:149
sang_loc_36_di_nguyen,Sàng lọc 36 dị nguyên,chemistry,blood,Sàng lọc 36 dị nguyên,lab_list_pdf#7:114
sao2,SaO2,blood_gas,blood,SaO2,plan_section_9
sarcoptes_scabieshominis,Sarcoptes scabieshominis,coagulation,blood,Ghẻ|Sarcoptes scabieshominis,lab_list_pdf#9:42
sarcoptes_scabieshominis_soi_tuoi,Sarcoptes scabieshominis soi tươi,coagulation,blood,Ghẻ|Sarcoptes scabieshominis soi tươi,lab_list_pdf#9:41
sat,Sắt,chemistry,blood,Sắt,both#5:143
scc,SCC,tumor_marker,blood,SCC|SCC (squamous cell carcinoma antigen),both#5:144
sflt_1,sFlt-1,chemistry,blood,sFlt-1|sFlt-1 (yếu tố kháng tân tạo mạch máu),lab_med_ministry_pdf#6:171
shbg,SHBG,chemistry,blood,SHBG|SHBG (Sex hormon binding globulin),lab_med_ministry_pdf#5:145
soi_can_nuoc_tieu_bang_kinh_hien_vi,Soi cặn nước tiểu bằng kính hiển vi,chemistry,blood,Soi cặn nước tiểu bằng kính hiển vi,lab_list_pdf#5:88
sperm_antibody,Sperm Antibody,chemistry,blood,Sperm Antibody,lab_med_ministry_pdf#5:146
t,T,chemistry,blood,T (Tri iodothyronine)|Tri iodothyronine,lab_med_ministry_pdf#5:147
t3,T3,endocrine,blood,T3,lab_list_pdf#3:38
t4,T4,endocrine,blood,T4,lab_list_pdf#3:39
