source_pdf,source_page,source_item,raw_name,normalized_name,canonical_key,canonical_name,category,specimen,official_name,local_name,notes
lab_med_ministry_pdf,2,15,Định lượng Anti - TPO (Anti- thyroid Peroxidase antibodies),Anti - TPO (Anti- thyroid Peroxidase antibodies),anti_tpo,Anti - TPO,chemistry,blood,Anti - TPO (Anti- thyroid Peroxidase antibodies),,
lab_med_ministry_pdf,2,16,Định lượng Apo A1 (Apolipoprotein A1),Apo A1 (Apolipoprotein A1),apo_a1,Apo A1,chemistry,blood,Apo A1 (Apolipoprotein A1),,
lab_med_ministry_pdf,2,17,Định lượng Apo B (Apolipoprotein B),Apo B (Apolipoprotein B),apo_b,Apo B,chemistry,blood,Apo B (Apolipoprotein B),,
manual_curation,0,,APTT,APTT,aptt,APTT,coagulation,blood,,,manual_curation (plan section 9)
lab_list_pdf,2,31,ASLO,ASLO,aslo,ASLO,immunology,blood,,ASLO,
both,2,20,Đo hoạt độ AST (GOT),AST (GOT),ast,AST,chemistry,blood,AST (GOT),AST,lab_list_pdf#2:15; lab_med_ministry_pdf#2:20
both,2,22,Định lượng beta 2 microglobulin,beta 2 microglobulin,beta_2_microglobulin,beta 2 microglobulin,chemistry,blood,beta 2 microglobulin,beta 2-microglobulin,lab_list_pdf#5:80; lab_med_ministry_pdf#2:22
lab_med_ministry_pdf,2,23,Định lượng Beta Crosslap,Beta Crosslap,beta_crosslap,Beta Crosslap,tumor_marker,blood,Beta Crosslap,,
manual_curation,0,,Bicarbonate,Bicarbonate,bicarbonate,Bicarbonate,blood_gas,blood,,,manual_curation (plan section 9)
lab_med_ministry_pdf,2,26,Định lượng Bilirubin gián tiếp,Bilirubin gián tiếp,bilirubin_gian_tiep,Bilirubin gián tiếp,chemistry,blood,Bilirubin gián tiếp,,
both,2,27,Định lượng Bilirubin toàn phần,Bilirubin toàn phần,bilirubin_toan_phan,Bilirubin toàn phần,chemistry,blood,Bilirubin toàn phần,Bilirubin toàn phần,lab_list_pdf#1:13; lab_med_ministry_pdf#2:27
both,2,25,Định lượng Bilirubin trực tiếp,Bilirubin trực tiếp,bilirubin_truc_tiep,Bilirubin trực tiếp,chemistry,blood,Bilirubin trực tiếp,Bilirubin trực tiếp,lab_list_pdf#1:14; lab_med_ministry_pdf#2:25
lab_med_ministry_pdf,2,28,Định lượng BNP (B- Type Natriuretic Peptide),BNP (B- Type Natriuretic Peptide),bnp,BNP,chemistry,blood,BNP (B- Type Natriuretic Peptide),,
lab_med_ministry_pdf,3,48,Định lượng bổ thể C3,bổ thể C3,bo_the_c3,bổ thể C3,chemistry,blood,bổ thể C3,,
lab_med_ministry_pdf,3,49,Định lượng bổ thể C4,bổ thể C4,bo_the_c4,bổ thể C4,chemistry,blood,bổ thể C4,,
lab_med_ministry_pdf,3,45,Định lượng C-Peptid,C-Peptid,c_peptid,C-Peptid,coagulation,blood,C-Peptid,,
both,2,32,Định lượng CA 125 (cancer antigen 125),CA 125 (cancer antigen 125),ca_125,CA 125,tumor_marker,blood,CA 125 (cancer antigen 125),CA 125,lab_list_pdf#3:48; lab_med_ministry_pdf#2:32
both,3,34,Định lượng CA 15 - 3 (cancer antigen 15- 3),CA 15 - 3 (cancer antigen 15- 3),ca_15_3,CA 15 - 3,tumor_marker,blood,CA 15 - 3 (cancer antigen 15- 3),CA 15-3,lab_list_pdf#3:47; lab_med_ministry_pdf#3:34
both,3,33,Định lượng CA 19 - 9 (carbohydrate antigen 19-9),CA 19 - 9 (carbohydrate antigen 19-9),ca_19_9,CA 19 - 9,tumor_marker,blood,CA 19 - 9 (carbohydrate antigen 19-9),CA 19-9,lab_list_pdf#3:45; lab_med_ministry_pdf#3:33
both,3,35,Định lượng CA 72 - 4 (cancer antigen 72- 4),CA 72 - 4 (cancer antigen 72- 4),ca_72_4,CA 72 - 4,tumor_marker,blood,CA 72 - 4 (cancer antigen 72- 4),CA 72-4,lab_list_pdf#3:46; lab_med_ministry_pdf#3:35
lab_med_ministry_pdf,3,58,"Định lượng các chất điện giải (Na, K, Cl)","các chất điện giải (Na, K, Cl)",cac_chat_ien_giai,các chất điện giải,urinalysis,blood,"các chất điện giải (Na, K, Cl)",,lab_med_ministry_pdf#3:58; lab_med_ministry_pdf#6:172
lab_list_pdf,3,36,"Các chất điện giải máu (Na, K, Cl)",Các chất điện giải máu,cac_chat_ien_giai_mau,Các chất điện giải máu,chemistry,blood,,"Các chất điện giải máu (Na, K, Cl)",
both,2,29,Định lượng Calci toàn phần,Calci toàn phần,calci,Calci toàn phần,urinalysis,blood,Calci toàn phần,calci,lab_list_pdf#3:34; lab_med_ministry_pdf#2:29
both,2,30,Định lượng Calci ion hoá,Calci ion hoá,calci_ion_hoa,Calci ion hoá,chemistry,blood,Calci ion hoá,calci ion hóa,lab_list_pdf#3:35; lab_med_ministry_pdf#2:30
lab_med_ministry_pdf,3,36,Định lượng Calcitonin,Calcitonin,calcitonin,Calcitonin,chemistry,blood,Calcitonin,,
lab_med_ministry_pdf,2,31,Định lượng canci ion hóa bằng điện cực chọn lọc,canci ion hóa bằng điện cực chọn lọc,canci_ion_hoa_bang_ien_cuc_chon_loc,canci ion hóa bằng điện cực chọn lọc,chemistry,blood,canci ion hóa bằng điện cực chọn lọc,,
lab_list_pdf,5,85,Cancitonil,Cancitonil,cancitonil,Cancitonil,chemistry,blood,,Cancitonil,
lab_med_ministry_pdf,3,37,Định lượng Carbamazepin,Carbamazepin,carbamazepin,Carbamazepin,chemistry,blood,Carbamazepin,,
both,3,39,Định lượng CEA (carcino embryonic antigen),CEA (carcino embryonic antigen),cea,CEA,tumor_marker,blood,CEA (carcino embryonic antigen),CEA,lab_list_pdf#3:44; lab_med_ministry_pdf#3:39
lab_med_ministry_pdf,3,38,Định lượng Ceruloplasmin,Ceruloplasmin,ceruloplasmin,Ceruloplasmin,chemistry,blood,Ceruloplasmin,,
lab_list_pdf,2,20,CHE,CHE,che,CHE,chemistry,blood,,CHE,
lab_list_pdf,1,8,Cholesterol,Cholesterol,cholesterol,Cholesterol,chemistry,blood,,Cholesterol,
lab_med_ministry_pdf,3,41,Định lượng Cholesterol toàn phần,Cholesterol toàn phần,cholesterol_toan_phan,Cholesterol toàn phần,chemistry,blood,Cholesterol toàn phần,,lab_med_ministry_pdf#3:41; lab_med_ministry_pdf#7:212
lab_med_ministry_pdf,3,40,Đo hoạt độ Cholinesterase (ChE),Cholinesterase (ChE),cholinesterase,Cholinesterase,chemistry,blood,Cholinesterase (ChE),,
both,3,42,Đo hoạt độ CK (Creatine kinase),CK (Creatine kinase),ck,CK,chemistry,blood,CK (Creatine kinase),CPK,lab_list_pdf#2:25; lab_med_ministry_pdf#3:42
both,3,43,Đo hoạt độ CK-MB (Isozym MB of Creatine kinase),CK-MB (Isozym MB of Creatine kinase),ck_mb,CK-MB,chemistry,blood,CK-MB (Isozym MB of Creatine kinase),CK-MB,lab_list_pdf#2:26; lab_med_ministry_pdf#3:43
lab_list_pdf,7,112,Clo dịch não tủy,Clo dịch não tủy,clo_dich_nao_tuy,Clo dịch não tủy,chemistry,blood,,Clo dịch não tủy,
lab_list_pdf,9,27,CMV Real-time PCR,CMV Real-time PCR,cmv_real_time_pcr,CMV Real-time PCR,microbiology,blood,,CMV Real-time PCR,
manual_curation,0,,CO2,CO2,co2,CO2,blood_gas,blood,,,manual_curation (plan section 9)
both,3,46,Định lượng Cortisol,Cortisol,cortisol,Cortisol,endocrine,blood,Cortisol,Cortisol,lab_list_pdf#4:64; lab_med_ministry_pdf#3:46
both,7,109,Creatinin niệu,Creatinin niệu,creatinine,Creatinin niệu,urinalysis,blood,Creatinin,Creatinin máu,both#3:51; lab_list_pdf#7:109
lab_list_pdf,2,27,CRP,CRP,crp,CRP,immunology,blood,,CRP,
both,3,50,Định lượng CRP hs (C-reactive protein high sesitivity),CRP hs (C-reactive protein high sesitivity),crp_hs,CRP hs,immunology,blood,CRP hs (C-reactive protein high sesitivity),CRPhs,lab_list_pdf#2:28; lab_med_ministry_pdf#3:50
lab_med_ministry_pdf,3,53,Định lượng cyclosphorin,cyclosphorin,cyclosphorin,cyclosphorin,chemistry,blood,cyclosphorin,,
both,3,52,Định lượng Cyfra 21- 1,Cyfra 21- 1,cyfra_21_1,Cyfra 21- 1,tumor_marker,blood,Cyfra 21- 1,Cyfra 21-1,lab_list_pdf#3:51; lab_med_ministry_pdf#3:52
lab_med_ministry_pdf,3,47,Định lượng Cystatine C,Cystatine C,cystatine_c,Cystatine C,chemistry,blood,Cystatine C,,
both,4,62,D-Dimer,D-Dimer,d_dimer,D-Dimer,coagulation,blood,D-Dimer,D-Dimer,both#3:54; lab_list_pdf#4:62
lab_list_pdf,9,26,Dengue virus NS1Ag/IgM - IgG test nhanh,Dengue virus NS1Ag/IgM - IgG test nhanh,dengue_virus_ns1ag_igm_igg_test_nhanh,Dengue virus NS1Ag/IgM - IgG test nhanh,chemistry,blood,,Dengue virus NS1Ag/IgM - IgG test nhanh,
lab_med_ministry_pdf,3,57,Định lượng Digitoxin,Digitoxin,digitoxin,Digitoxin,chemistry,blood,Digitoxin,,
lab_med_ministry_pdf,3,56,Định lượng Digoxin,Digoxin,digoxin,Digoxin,chemistry,blood,Digoxin,,
lab_med_ministry_pdf,3,62,Định lượng E3 không liên hợp (Unconjugated Estriol),E3 không liên hợp (Unconjugated Estriol),e3_khong_lien_hop,E3 không liên hợp,chemistry,blood,E3 không liên hợp (Unconjugated Estriol),,
both,3,61,Định lượng Estradiol,Estradiol,estradiol,Estradiol,endocrine,blood,Estradiol,Estradiol,lab_list_pdf#4:69; lab_med_ministry_pdf#3:61
both,3,60,Định lượng Ethanol (cồn),Ethanol (cồn),ethanol,Ethanol,chemistry,blood,Ethanol (cồn),Ethanol,lab_list_pdf#2:22; lab_med_ministry_pdf#3:60
lab_med_ministry_pdf,3,59,Định lượng FABD (Fatty acid binding protein),FABD (Fatty acid binding protein),fabd,FABD,chemistry,blood,FABD (Fatty acid binding protein),,
both,4,66,Feritin,Feritin,ferritin,Feritin,chemistry,blood,Ferritin,Feritin,both#3:63; lab_list_pdf#4:66
manual_curation,0,,Fibrinogen,Fibrinogen,fibrinogen,Fibrinogen,coagulation,blood,,,manual_curation (plan section 9)
lab_med_ministry_pdf,3,67,Định lượng Folate,Folate,folate,Folate,chemistry,blood,Folate,,
lab_med_ministry_pdf,3,66,Định lượng free HCG (Free Beta Human chorionic gonadotropin),free HCG (Free Beta Human chorionic gonadotropin),free_hcg,free HCG,endocrine,blood,free HCG (Free Beta Human chorionic gonadotropin),,
lab_med_ministry_pdf,3,64,Định lượng Fructosamin,Fructosamin,fructosamin,Fructosamin,chemistry,blood,Fructosamin,,
both,3,65,Định lượng FSH (Follicular stimulating hormone),FSH (Follicular stimulating hormone),fsh,FSH,endocrine,blood,FSH (Follicular stimulating hormone),FSH,lab_list_pdf#4:68; lab_med_ministry_pdf#3:65
lab_med_ministry_pdf,3,68,Định lượng FT (Free Triiodothyronine),FT (Free Triiodothyronine),ft,FT,chemistry,blood,FT (Free Triiodothyronine),,lab_med_ministry_pdf#3:68; lab_med_ministry_pdf#3:69
lab_list_pdf,3,40,FT3,FT3,ft3,FT3,endocrine,blood,,FT3,
lab_list_pdf,3,41,FT4,FT4,ft4,FT4,endocrine,blood,,FT4,
lab_med_ministry_pdf,3,72,Đo hoạt độ G6PD (Glucose -6 phosphat dehydrogenase),G6PD (Glucose -6 phosphat dehydrogenase),g6pd,G6PD,hematology,blood,G6PD (Glucose -6 phosphat dehydrogenase),,
lab_med_ministry_pdf,3,70,Định lượng Galectin 3,Galectin 3,galectin_3,Galectin 3,chemistry,blood,Galectin 3,,
lab_med_ministry_pdf,3,71,Định lượng Gastrin,Gastrin,gastrin,Gastrin,chemistry,blood,Gastrin,,
lab_med_ministry_pdf,4,79,Định lượng Gentamicin,Gentamicin,gentamicin,Gentamicin,chemistry,blood,Gentamicin,,
both,4,77,Đo hoạt độ GGT (Gama Glutamyl Transferase),GGT (Gama Glutamyl Transferase),ggt,GGT,chemistry,blood,GGT (Gama Glutamyl Transferase),GGT,lab_list_pdf#2:17; lab_med_ministry_pdf#4:77
lab_med_ministry_pdf,4,73,Định lượng GH (Growth Hormone),GH (Growth Hormone),gh,GH,chemistry,blood,GH (Growth Hormone),,
lab_med_ministry_pdf,4,74,Đo hoạt độ GLDH (Glutamat dehydrogenase),GLDH (Glutamat dehydrogenase),gldh,GLDH,chemistry,blood,GLDH (Glutamat dehydrogenase),,
both,4,76,Định lượng Globulin,Globulin,globulin,Globulin,chemistry,blood,Globulin,Globulin,lab_list_pdf#1:7; lab_med_ministry_pdf#4:76
lab_med_ministry_pdf,4,78,Định lượng GLP-1,GLP-1,glp_1,GLP-1,chemistry,blood,GLP-1,,
both,4,75,Định lượng Glucose,Glucose,glucose,Glucose,chemistry,blood,Glucose,Glucose máu,lab_list_pdf#1:3; lab_med_ministry_pdf#4:75
lab_med_ministry_pdf,4,80,Định lượng Haptoglobulin,Haptoglobulin,haptoglobulin,Haptoglobulin,coagulation,blood,Haptoglobulin,,
both,4,83,Định lượng HbA1c,HbA1c,hba1c,HbA1c,chemistry,blood,HbA1c,HbA1C,lab_list_pdf#1:4; lab_med_ministry_pdf#4:83
lab_med_ministry_pdf,4,82,Đo hoạt độ HBDH (Hydroxy butyrat dehydrogenase),HBDH (Hydroxy butyrat dehydrogenase),hbdh,HBDH,chemistry,blood,HBDH (Hydroxy butyrat dehydrogenase),,
lab_list_pdf,5,75,HBeAg miễn dịch tự động,HBeAg miễn dịch tự động,hbeag_mien_dich_tu_ong,HBeAg miễn dịch tự động,chemistry,blood,,HBeAg miễn dịch tự động,
lab_med_ministry_pdf,4,81,Định lượng HBs g (HBs g Quantitative) ( CMI / ECLI ),HBs g (HBs g Quantitative) ( CMI / ECLI ),hbs_g,HBs g,immunology,blood,HBs g (HBs g Quantitative) ( CMI / ECLI ),,
lab_list_pdf,4,74,HBsAg miễn dịch tự,HBsAg miễn dịch tự,hbsag_mien_dich_tu,HBsAg miễn dịch tự,immunology,blood,,HBsAg miễn dịch tự,
lab_list_pdf,4,73,HBsAg Quant (HbsAg định lượng),HBsAg Quant,hbsag_quant,HBsAg Quant,immunology,blood,,HBsAg Quant (HbsAg định lượng),
lab_list_pdf,9,20,HBV đo tải lượng hệ thống tự động,HBV đo tải lượng hệ thống tự động,hbv_o_tai_luong_he_thong_tu_ong,HBV đo tải lượng hệ thống tự động,chemistry,blood,,HBV đo tải lượng hệ thống tự động,
lab_med_ministry_pdf,2,24,Định lượng hCG (Beta human Chorionic gonadotropins),hCG (Beta human Chorionic gonadotropins),hcg,hCG,endocrine,blood,hCG (Beta human Chorionic gonadotropins),,
lab_list_pdf,9,23,HCV genotype Real-time PCR,HCV genotype Real-time PCR,hcv_genotype_real_time_pcr,HCV genotype Real-time PCR,microbiology,blood,,HCV genotype Real-time PCR,
lab_list_pdf,9,22,HCV đo tải lượng hệ thống tự động,HCV đo tải lượng hệ thống tự động,hcv_o_tai_luong_he_thong_tu_ong,HCV đo tải lượng hệ thống tự động,chemistry,blood,,HCV đo tải lượng hệ thống tự động,
lab_list_pdf,9,21,HCV đo tải lượng Real-time PCR,HCV đo tải lượng Real-time PCR,hcv_o_tai_luong_real_time_pcr,HCV đo tải lượng Real-time PCR,microbiology,blood,,HCV đo tải lượng Real-time PCR,
lab_list_pdf,1,9,HDL,HDL,hdl,HDL,chemistry,blood,,HDL,
lab_med_ministry_pdf,4,84,Định lượng HDL-C (High density lipoprotein Cholesterol),HDL-C (High density lipoprotein Cholesterol),hdl_c,HDL-C,chemistry,blood,HDL-C (High density lipoprotein Cholesterol),,
both,4,85,Định lượng HE4,HE4,he4,HE4,tumor_marker,blood,HE4,HE4,lab_list_pdf#3:53; lab_med_ministry_pdf#4:85
manual_curation,0,,Hematocrit,Hematocrit,hematocrit,Hematocrit,hematology,blood,,,manual_curation (plan section 9)
manual_curation,0,,Hemoglobin,Hemoglobin,hemoglobin,Hemoglobin,hematology,blood,,,manual_curation (plan section 9)
lab_med_ministry_pdf,4,86,Định lượng Homocystein,Homocystein,homocystein,Homocystein,chemistry,blood,Homocystein,,
lab_list_pdf,9,29,"Hồng cầu, bạch cầu trong phân soi tươi","Hồng cầu, bạch cầu trong phân soi tươi",hong_cau_bach_cau_trong_phan_soi_tuoi,"Hồng cầu, bạch cầu trong phân soi tươi",hematology,blood,,"Hồng cầu, bạch cầu trong phân soi tươi",
lab_list_pdf,9,28,HSV Real-time PCR,HSV Real-time PCR,hsv_real_time_pcr,HSV Real-time PCR,microbiology,blood,,HSV Real-time PCR,
manual_curation,0,,Huyết đồ,Huyết đồ,huyet_do,Huyết đồ,hematology,blood,,,manual_curation (plan section 9)
lab_list_pdf,7,113,Điện giải niệu,Điện giải niệu,ien_giai_nieu,Điện giải niệu,chemistry,blood,,Điện giải niệu,
lab_med_ministry_pdf,4,94,Định lượng IgA (Immunoglobuline A),IgA (Immunoglobuline A),iga,IgA,chemistry,blood,IgA (Immunoglobuline A),,
lab_med_ministry_pdf,4,92,Định lượng IgE (bằng phương pháp ELIS ),IgE (bằng phương pháp ELIS ),ige,IgE,chemistry,blood,IgE (bằng phương pháp ELIS ),,lab_med_ministry_pdf#4:92; lab_med_ministry_pdf#4:93
lab_med_ministry_pdf,4,97,Định lượng IGFBP-3 ( Insulin like growth factor binding protein 3),IGFBP-3 ( Insulin like growth factor binding protein 3),igfbp_3,IGFBP-3,chemistry,blood,IGFBP-3 ( Insulin like growth factor binding protein 3),,
lab_med_ministry_pdf,4,95,Định lượng IgG (Immunoglobuline G),IgG (Immunoglobuline G),igg,IgG,chemistry,blood,IgG (Immunoglobuline G),,
lab_med_ministry_pdf,4,96,Định lượng IgM (Immunoglobuline M),IgM (Immunoglobuline M),igm,IgM,chemistry,blood,IgM (Immunoglobuline M),,
lab_med_ministry_pdf,4,91,Định lượng IL-10 (Interleukin 10),IL-10 (Interleukin 10),il_10,IL-10,chemistry,blood,IL-10 (Interleukin 10),,
